image,run,strategy,moves_taken,completed,first_move,ensemble_agreement_count,ensemble_total_considered,agreement_rate,error
test1,1,depth2,11.0,True,,,,,
test1,1,monte_carlo,24.0,True,,,,,
test1,1,depth3,14.0,True,,,,,
test1,1,ensemble,16.0,True,,,,,
test1,1,depth2,,,,0.0,12.0,0.0,
test1,1,monte_carlo,,,,10.0,12.0,0.8333333333333334,
test1,1,depth3,,,,0.0,12.0,0.0,
test1,2,depth2,14.0,True,,,,,
test1,2,monte_carlo,18.0,True,,,,,
test1,2,depth3,10.0,True,,,,,
test1,2,ensemble,19.0,True,,,,,
test1,2,depth2,,,,0.0,15.0,0.0,
test1,2,monte_carlo,,,,13.0,15.0,0.8666666666666667,
test1,2,depth3,,,,0.0,15.0,0.0,
test1,3,depth2,11.0,True,,,,,
test1,3,monte_carlo,13.0,True,,,,,
test1,3,depth3,15.0,True,,,,,
test1,3,ensemble,11.0,True,,,,,
test1,3,depth2,,,,0.0,11.0,0.0,
test1,3,monte_carlo,,,,7.0,11.0,0.6363636363636364,
test1,3,depth3,,,,0.0,11.0,0.0,
test1,4,depth2,20.0,True,,,,,
test1,4,monte_carlo,15.0,True,,,,,
test1,4,depth3,21.0,True,,,,,
test1,4,ensemble,12.0,True,,,,,
test1,4,depth2,,,,0.0,12.0,0.0,
test1,4,monte_carlo,,,,9.0,12.0,0.75,
test1,4,depth3,,,,0.0,12.0,0.0,
test1,5,depth2,13.0,True,,,,,
test1,5,monte_carlo,15.0,True,,,,,
test1,5,depth3,14.0,True,,,,,
test1,5,ensemble,15.0,True,,,,,
test1,5,depth2,,,,0.0,14.0,0.0,
test1,5,monte_carlo,,,,12.0,14.0,0.8571428571428571,
test1,5,depth3,,,,0.0,14.0,0.0,
test2,1,depth2,26.0,True,,,,,
test2,1,monte_carlo,14.0,True,,,,,
test2,1,depth3,14.0,True,,,,,
test2,1,ensemble,11.0,True,,,,,
test2,1,depth2,,,,0.0,10.0,0.0,
test2,1,monte_carlo,,,,9.0,10.0,0.9,
test2,1,depth3,,,,0.0,10.0,0.0,
test2,2,depth2,12.0,True,,,,,
test2,2,monte_carlo,28.0,False,,,,,
test2,2,depth3,6.0,True,,,,,
test2,2,ensemble,10.0,True,,,,,
test2,2,depth2,,,,0.0,9.0,0.0,
test2,2,monte_carlo,,,,5.0,9.0,0.5555555555555556,
test2,2,depth3,,,,0.0,9.0,0.0,
test2,3,depth2,6.0,True,,,,,
test2,3,monte_carlo,17.0,True,,,,,
test2,3,depth3,9.0,True,,,,,
test2,3,ensemble,10.0,True,,,,,
test2,3,depth2,,,,0.0,8.0,0.0,
test2,3,monte_carlo,,,,6.0,8.0,0.75,
test2,3,depth3,,,,0.0,8.0,0.0,
test2,4,depth2,14.0,True,,,,,
test2,4,monte_carlo,10.0,True,,,,,
test2,4,depth3,16.0,True,,,,,
test2,4,ensemble,6.0,True,,,,,
test2,4,depth2,,,,0.0,5.0,0.0,
test2,4,monte_carlo,,,,5.0,5.0,1.0,
test2,4,depth3,,,,0.0,5.0,0.0,
test2,5,depth2,11.0,True,,,,,
test2,5,monte_carlo,25.0,True,,,,,
test2,5,depth3,8.0,True,,,,,
test2,5,ensemble,10.0,True,,,,,
test2,5,depth2,,,,0.0,10.0,0.0,
test2,5,monte_carlo,,,,7.0,10.0,0.7,
test2,5,depth3,,,,0.0,10.0,0.0,
test3,1,depth2,10.0,True,,,,,
test3,1,monte_carlo,8.0,True,,,,,
test3,1,depth3,9.0,True,,,,,
test3,1,ensemble,9.0,True,,,,,
test3,1,depth2,,,,0.0,9.0,0.0,
test3,1,monte_carlo,,,,9.0,9.0,1.0,
test3,1,depth3,,,,0.0,9.0,0.0,
test3,2,depth2,8.0,True,,,,,
test3,2,monte_carlo,9.0,True,,,,,
test3,2,depth3,8.0,True,,,,,
test3,2,ensemble,8.0,True,,,,,
test3,2,depth2,,,,0.0,8.0,0.0,
test3,2,monte_carlo,,,,8.0,8.0,1.0,
test3,2,depth3,,,,0.0,8.0,0.0,
test3,3,depth2,8.0,True,,,,,
test3,3,monte_carlo,9.0,True,,,,,
test3,3,depth3,9.0,True,,,,,
test3,3,ensemble,9.0,True,,,,,
test3,3,depth2,,,,0.0,8.0,0.0,
test3,3,monte_carlo,,,,6.0,8.0,0.75,
test3,3,depth3,,,,0.0,8.0,0.0,
test3,4,depth2,10.0,True,,,,,
test3,4,monte_carlo,10.0,True,,,,,
test3,4,depth3,9.0,True,,,,,
test3,4,ensemble,9.0,True,,,,,
test3,4,depth2,,,,0.0,9.0,0.0,
test3,4,monte_carlo,,,,8.0,9.0,0.8888888888888888,
test3,4,depth3,,,,0.0,9.0,0.0,
test3,5,depth2,11.0,True,,,,,
test3,5,monte_carlo,13.0,True,,,,,
test3,5,depth3,9.0,True,,,,,
test3,5,ensemble,7.0,True,,,,,
test3,5,depth2,,,,0.0,7.0,0.0,
test3,5,monte_carlo,,,,7.0,7.0,1.0,
test3,5,depth3,,,,0.0,7.0,0.0,
test5,1,depth2,8.0,True,,,,,
test5,1,monte_carlo,4.0,True,,,,,
test5,1,depth3,5.0,True,,,,,
test5,1,ensemble,17.0,True,,,,,
test5,1,depth2,,,,0.0,9.0,0.0,
test5,1,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test5,1,depth3,,,,0.0,9.0,0.0,
test5,2,depth2,9.0,True,,,,,
test5,2,monte_carlo,6.0,True,,,,,
test5,2,depth3,4.0,True,,,,,
test5,2,ensemble,4.0,True,,,,,
test5,2,depth2,,,,0.0,3.0,0.0,
test5,2,monte_carlo,,,,3.0,3.0,1.0,
test5,2,depth3,,,,0.0,3.0,0.0,
test5,3,depth2,5.0,True,,,,,
test5,3,monte_carlo,24.0,True,,,,,
test5,3,depth3,9.0,True,,,,,
test5,3,ensemble,8.0,True,,,,,
test5,3,depth2,,,,0.0,7.0,0.0,
test5,3,monte_carlo,,,,5.0,7.0,0.7142857142857143,
test5,3,depth3,,,,0.0,7.0,0.0,
test5,4,depth2,10.0,True,,,,,
test5,4,monte_carlo,11.0,True,,,,,
test5,4,depth3,8.0,True,,,,,
test5,4,ensemble,9.0,True,,,,,
test5,4,depth2,,,,0.0,8.0,0.0,
test5,4,monte_carlo,,,,7.0,8.0,0.875,
test5,4,depth3,,,,0.0,8.0,0.0,
test5,5,depth2,5.0,True,,,,,
test5,5,monte_carlo,42.0,True,,,,,
test5,5,depth3,7.0,True,,,,,
test5,5,ensemble,9.0,True,,,,,
test5,5,depth2,,,,0.0,5.0,0.0,
test5,5,monte_carlo,,,,5.0,5.0,1.0,
test5,5,depth3,,,,0.0,5.0,0.0,
test6,1,depth2,8.0,True,,,,,
test6,1,monte_carlo,14.0,True,,,,,
test6,1,depth3,13.0,True,,,,,
test6,1,ensemble,5.0,True,,,,,
test6,1,depth2,,,,0.0,4.0,0.0,
test6,1,monte_carlo,,,,4.0,4.0,1.0,
test6,1,depth3,,,,0.0,4.0,0.0,
test6,2,depth2,10.0,True,,,,,
test6,2,monte_carlo,8.0,True,,,,,
test6,2,depth3,8.0,True,,,,,
test6,2,ensemble,11.0,True,,,,,
test6,2,depth2,,,,0.0,9.0,0.0,
test6,2,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test6,2,depth3,,,,0.0,9.0,0.0,
test6,3,depth2,11.0,True,,,,,
test6,3,monte_carlo,25.0,False,,,,,
test6,3,depth3,14.0,True,,,,,
test6,3,ensemble,14.0,True,,,,,
test6,3,depth2,,,,0.0,11.0,0.0,
test6,3,monte_carlo,,,,10.0,11.0,0.9090909090909091,
test6,3,depth3,,,,0.0,11.0,0.0,
test6,4,depth2,12.0,True,,,,,
test6,4,monte_carlo,14.0,True,,,,,
test6,4,depth3,12.0,True,,,,,
test6,4,ensemble,9.0,True,,,,,
test6,4,depth2,,,,0.0,8.0,0.0,
test6,4,monte_carlo,,,,6.0,8.0,0.75,
test6,4,depth3,,,,0.0,8.0,0.0,
test6,5,depth2,9.0,True,,,,,
test6,5,monte_carlo,8.0,True,,,,,
test6,5,depth3,13.0,True,,,,,
test6,5,ensemble,8.0,True,,,,,
test6,5,depth2,,,,0.0,7.0,0.0,
test6,5,monte_carlo,,,,7.0,7.0,1.0,
test6,5,depth3,,,,0.0,7.0,0.0,
test7,1,depth2,21.0,True,,,,,
test7,1,monte_carlo,16.0,True,,,,,
test7,1,depth3,29.0,True,,,,,
test7,1,ensemble,19.0,True,,,,,
test7,1,depth2,,,,0.0,17.0,0.0,
test7,1,monte_carlo,,,,16.0,17.0,0.9411764705882353,
test7,1,depth3,,,,0.0,17.0,0.0,
test7,2,depth2,21.0,True,,,,,
test7,2,monte_carlo,16.0,True,,,,,
test7,2,depth3,1.0,False,,,,,
test7,2,ensemble,51.0,True,,,,,
test7,2,depth2,,,,0.0,41.0,0.0,
test7,2,monte_carlo,,,,36.0,41.0,0.8780487804878049,
test7,2,depth3,,,,0.0,41.0,0.0,
test7,3,depth2,5.0,False,,,,,
test7,3,monte_carlo,24.0,True,,,,,
test7,3,depth3,29.0,True,,,,,
test7,3,ensemble,23.0,True,,,,,
test7,3,depth2,,,,0.0,22.0,0.0,
test7,3,monte_carlo,,,,18.0,22.0,0.8181818181818182,
test7,3,depth3,,,,0.0,22.0,0.0,
test7,4,depth2,33.0,True,,,,,
test7,4,monte_carlo,14.0,True,,,,,
test7,4,depth3,18.0,True,,,,,
test7,4,ensemble,20.0,True,,,,,
test7,4,depth2,,,,0.0,19.0,0.0,
test7,4,monte_carlo,,,,15.0,19.0,0.7894736842105263,
test7,4,depth3,,,,0.0,19.0,0.0,
test7,5,depth2,26.0,True,,,,,
test7,5,monte_carlo,15.0,True,,,,,
test7,5,depth3,23.0,True,,,,,
test7,5,ensemble,16.0,True,,,,,
test7,5,depth2,,,,0.0,15.0,0.0,
test7,5,monte_carlo,,,,15.0,15.0,1.0,
test7,5,depth3,,,,0.0,15.0,0.0,
test8,1,depth2,5.0,True,,,,,
test8,1,monte_carlo,4.0,True,,,,,
test8,1,depth3,17.0,True,,,,,
test8,1,ensemble,7.0,True,,,,,
test8,1,depth2,,,,0.0,6.0,0.0,
test8,1,monte_carlo,,,,4.0,6.0,0.6666666666666666,
test8,1,depth3,,,,0.0,6.0,0.0,
test8,2,depth2,3.0,True,,,,,
test8,2,monte_carlo,20.0,True,,,,,
test8,2,depth3,11.0,True,,,,,
test8,2,ensemble,5.0,True,,,,,
test8,2,depth2,,,,0.0,5.0,0.0,
test8,2,monte_carlo,,,,4.0,5.0,0.8,
test8,2,depth3,,,,0.0,5.0,0.0,
test8,3,depth2,5.0,True,,,,,
test8,3,monte_carlo,5.0,True,,,,,
test8,3,depth3,9.0,True,,,,,
test8,3,ensemble,17.0,True,,,,,
test8,3,depth2,,,,0.0,15.0,0.0,
test8,3,monte_carlo,,,,14.0,15.0,0.9333333333333333,
test8,3,depth3,,,,0.0,15.0,0.0,
test8,4,depth2,4.0,True,,,,,
test8,4,monte_carlo,30.0,True,,,,,
test8,4,depth3,4.0,True,,,,,
test8,4,ensemble,14.0,True,,,,,
test8,4,depth2,,,,0.0,13.0,0.0,
test8,4,monte_carlo,,,,11.0,13.0,0.8461538461538461,
test8,4,depth3,,,,0.0,13.0,0.0,
test8,5,depth2,8.0,True,,,,,
test8,5,monte_carlo,9.0,True,,,,,
test8,5,depth3,10.0,True,,,,,
test8,5,ensemble,7.0,True,,,,,
test8,5,depth2,,,,0.0,5.0,0.0,
test8,5,monte_carlo,,,,5.0,5.0,1.0,
test8,5,depth3,,,,0.0,5.0,0.0,
test9,1,depth2,1.0,True,,,,,
test9,1,monte_carlo,1.0,True,,,,,
test9,1,depth3,1.0,True,,,,,
test9,1,ensemble,1.0,True,,,,,
test9,1,depth2,,,,0.0,1.0,0.0,
test9,1,monte_carlo,,,,1.0,1.0,1.0,
test9,1,depth3,,,,0.0,1.0,0.0,
test9,2,depth2,1.0,True,,,,,
test9,2,monte_carlo,1.0,True,,,,,
test9,2,depth3,1.0,True,,,,,
test9,2,ensemble,1.0,True,,,,,
test9,2,depth2,,,,0.0,1.0,0.0,
test9,2,monte_carlo,,,,1.0,1.0,1.0,
test9,2,depth3,,,,0.0,1.0,0.0,
test9,3,depth2,1.0,True,,,,,
test9,3,monte_carlo,1.0,True,,,,,
test9,3,depth3,2.0,True,,,,,
test9,3,ensemble,1.0,True,,,,,
test9,3,depth2,,,,0.0,1.0,0.0,
test9,3,monte_carlo,,,,1.0,1.0,1.0,
test9,3,depth3,,,,0.0,1.0,0.0,
test9,4,depth2,1.0,True,,,,,
test9,4,monte_carlo,1.0,True,,,,,
test9,4,depth3,2.0,True,,,,,
test9,4,ensemble,1.0,True,,,,,
test9,4,depth2,,,,0.0,1.0,0.0,
test9,4,monte_carlo,,,,1.0,1.0,1.0,
test9,4,depth3,,,,0.0,1.0,0.0,
test9,5,depth2,1.0,True,,,,,
test9,5,monte_carlo,1.0,True,,,,,
test9,5,depth3,1.0,True,,,,,
test9,5,ensemble,2.0,True,,,,,
test9,5,depth2,,,,0.0,2.0,0.0,
test9,5,monte_carlo,,,,1.0,2.0,0.5,
test9,5,depth3,,,,0.0,2.0,0.0,
test11,1,depth2,5.0,True,,,,,
test11,1,monte_carlo,21.0,True,,,,,
test11,1,depth3,6.0,True,,,,,
test11,1,ensemble,5.0,True,,,,,
test11,1,depth2,,,,0.0,4.0,0.0,
test11,1,monte_carlo,,,,3.0,4.0,0.75,
test11,1,depth3,,,,0.0,4.0,0.0,
test11,2,depth2,6.0,True,,,,,
test11,2,monte_carlo,9.0,True,,,,,
test11,2,depth3,6.0,True,,,,,
test11,2,ensemble,4.0,True,,,,,
test11,2,depth2,,,,0.0,3.0,0.0,
test11,2,monte_carlo,,,,3.0,3.0,1.0,
test11,2,depth3,,,,0.0,3.0,0.0,
test11,3,depth2,6.0,True,,,,,
test11,3,monte_carlo,5.0,True,,,,,
test11,3,depth3,4.0,True,,,,,
test11,3,ensemble,6.0,True,,,,,
test11,3,depth2,,,,0.0,6.0,0.0,
test11,3,monte_carlo,,,,3.0,6.0,0.5,
test11,3,depth3,,,,0.0,6.0,0.0,
test11,4,depth2,5.0,True,,,,,
test11,4,monte_carlo,5.0,True,,,,,
test11,4,depth3,4.0,True,,,,,
test11,4,ensemble,6.0,True,,,,,
test11,4,depth2,,,,0.0,4.0,0.0,
test11,4,monte_carlo,,,,3.0,4.0,0.75,
test11,4,depth3,,,,0.0,4.0,0.0,
test11,5,depth2,4.0,True,,,,,
test11,5,monte_carlo,4.0,True,,,,,
test11,5,depth3,6.0,True,,,,,
test11,5,ensemble,5.0,True,,,,,
test11,5,depth2,,,,0.0,4.0,0.0,
test11,5,monte_carlo,,,,4.0,4.0,1.0,
test11,5,depth3,,,,0.0,4.0,0.0,
test12,1,depth2,9.0,True,,,,,
test12,1,monte_carlo,12.0,True,,,,,
test12,1,depth3,17.0,True,,,,,
test12,1,ensemble,10.0,True,,,,,
test12,1,depth2,,,,0.0,7.0,0.0,
test12,1,monte_carlo,,,,5.0,7.0,0.7142857142857143,
test12,1,depth3,,,,0.0,7.0,0.0,
test12,2,depth2,15.0,True,,,,,
test12,2,monte_carlo,11.0,True,,,,,
test12,2,depth3,12.0,True,,,,,
test12,2,ensemble,13.0,True,,,,,
test12,2,depth2,,,,0.0,9.0,0.0,
test12,2,monte_carlo,,,,6.0,9.0,0.6666666666666666,
test12,2,depth3,,,,0.0,9.0,0.0,
test12,3,depth2,27.0,True,,,,,
test12,3,monte_carlo,9.0,True,,,,,
test12,3,depth3,12.0,True,,,,,
test12,3,ensemble,7.0,True,,,,,
test12,3,depth2,,,,0.0,5.0,0.0,
test12,3,monte_carlo,,,,5.0,5.0,1.0,
test12,3,depth3,,,,0.0,5.0,0.0,
test12,4,depth2,15.0,True,,,,,
test12,4,monte_carlo,11.0,True,,,,,
test12,4,depth3,19.0,True,,,,,
test12,4,ensemble,15.0,True,,,,,
test12,4,depth2,,,,0.0,13.0,0.0,
test12,4,monte_carlo,,,,10.0,13.0,0.7692307692307693,
test12,4,depth3,,,,0.0,13.0,0.0,
test12,5,depth2,13.0,True,,,,,
test12,5,monte_carlo,8.0,True,,,,,
test12,5,depth3,19.0,True,,,,,
test12,5,ensemble,13.0,True,,,,,
test12,5,depth2,,,,0.0,9.0,0.0,
test12,5,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test12,5,depth3,,,,0.0,9.0,0.0,
test14,1,depth2,7.0,True,,,,,
test14,1,monte_carlo,5.0,True,,,,,
test14,1,depth3,4.0,True,,,,,
test14,1,ensemble,4.0,True,,,,,
test14,1,depth2,,,,0.0,4.0,0.0,
test14,1,monte_carlo,,,,2.0,4.0,0.5,
test14,1,depth3,,,,0.0,4.0,0.0,
test14,2,depth2,6.0,True,,,,,
test14,2,monte_carlo,8.0,True,,,,,
test14,2,depth3,3.0,True,,,,,
test14,2,ensemble,4.0,True,,,,,
test14,2,depth2,,,,0.0,3.0,0.0,
test14,2,monte_carlo,,,,3.0,3.0,1.0,
test14,2,depth3,,,,0.0,3.0,0.0,
test14,3,depth2,3.0,True,,,,,
test14,3,monte_carlo,3.0,True,,,,,
test14,3,depth3,4.0,True,,,,,
test14,3,ensemble,7.0,True,,,,,
test14,3,depth2,,,,0.0,6.0,0.0,
test14,3,monte_carlo,,,,4.0,6.0,0.6666666666666666,
test14,3,depth3,,,,0.0,6.0,0.0,
test14,4,depth2,3.0,True,,,,,
test14,4,monte_carlo,3.0,True,,,,,
test14,4,depth3,5.0,True,,,,,
test14,4,ensemble,6.0,True,,,,,
test14,4,depth2,,,,0.0,4.0,0.0,
test14,4,monte_carlo,,,,4.0,4.0,1.0,
test14,4,depth3,,,,0.0,4.0,0.0,
test14,5,depth2,5.0,True,,,,,
test14,5,monte_carlo,4.0,True,,,,,
test14,5,depth3,6.0,True,,,,,
test14,5,ensemble,5.0,True,,,,,
test14,5,depth2,,,,0.0,5.0,0.0,
test14,5,monte_carlo,,,,4.0,5.0,0.8,
test14,5,depth3,,,,0.0,5.0,0.0,
test15,1,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,1,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,1,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,1,ensemble,0.0,False,,,,,
test15,1,depth2,,,,0.0,0.0,,
test15,1,monte_carlo,,,,0.0,0.0,,
test15,1,depth3,,,,0.0,0.0,,
test15,2,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,2,ensemble,0.0,False,,,,,
test15,2,depth2,,,,0.0,0.0,,
test15,2,monte_carlo,,,,0.0,0.0,,
test15,2,depth3,,,,0.0,0.0,,
test15,3,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,3,ensemble,0.0,False,,,,,
test15,3,depth2,,,,0.0,0.0,,
test15,3,monte_carlo,,,,0.0,0.0,,
test15,3,depth3,,,,0.0,0.0,,
test15,4,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,4,ensemble,0.0,False,,,,,
test15,4,depth2,,,,0.0,0.0,,
test15,4,monte_carlo,,,,0.0,0.0,,
test15,4,depth3,,,,0.0,0.0,,
test15,5,depth2,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,monte_carlo,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,depth3,-1.0,False,,,,,argument of type 'bool' is not iterable
test15,5,ensemble,0.0,False,,,,,
test15,5,depth2,,,,0.0,0.0,,
test15,5,monte_carlo,,,,0.0,0.0,,
test15,5,depth3,,,,0.0,0.0,,
test16,1,depth2,11.0,True,,,,,
test16,1,monte_carlo,7.0,True,,,,,
test16,1,depth3,5.0,True,,,,,
test16,1,ensemble,7.0,True,,,,,
test16,1,depth2,,,,0.0,6.0,0.0,
test16,1,monte_carlo,,,,2.0,6.0,0.3333333333333333,
test16,1,depth3,,,,0.0,6.0,0.0,
test16,2,depth2,11.0,True,,,,,
test16,2,monte_carlo,11.0,True,,,,,
test16,2,depth3,6.0,True,,,,,
test16,2,ensemble,10.0,True,,,,,
test16,2,depth2,,,,0.0,10.0,0.0,
test16,2,monte_carlo,,,,9.0,10.0,0.9,
test16,2,depth3,,,,0.0,10.0,0.0,
test16,3,depth2,11.0,True,,,,,
test16,3,monte_carlo,5.0,True,,,,,
test16,3,depth3,7.0,True,,,,,
test16,3,ensemble,7.0,True,,,,,
test16,3,depth2,,,,0.0,7.0,0.0,
test16,3,monte_carlo,,,,6.0,7.0,0.8571428571428571,
test16,3,depth3,,,,0.0,7.0,0.0,
test16,4,depth2,11.0,True,,,,,
test16,4,monte_carlo,10.0,True,,,,,
test16,4,depth3,5.0,True,,,,,
test16,4,ensemble,5.0,True,,,,,
test16,4,depth2,,,,0.0,4.0,0.0,
test16,4,monte_carlo,,,,4.0,4.0,1.0,
test16,4,depth3,,,,0.0,4.0,0.0,
test16,5,depth2,10.0,True,,,,,
test16,5,monte_carlo,6.0,True,,,,,
test16,5,depth3,4.0,True,,,,,
test16,5,ensemble,8.0,True,,,,,
test16,5,depth2,,,,0.0,4.0,0.0,
test16,5,monte_carlo,,,,3.0,4.0,0.75,
test16,5,depth3,,,,0.0,4.0,0.0,
test24,1,depth2,14.0,True,,,,,
test24,1,monte_carlo,8.0,True,,,,,
test24,1,depth3,12.0,True,,,,,
test24,1,ensemble,10.0,True,,,,,
test24,1,depth2,,,,0.0,9.0,0.0,
test24,1,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test24,1,depth3,,,,0.0,9.0,0.0,
test24,2,depth2,18.0,True,,,,,
test24,2,monte_carlo,12.0,True,,,,,
test24,2,depth3,16.0,True,,,,,
test24,2,ensemble,16.0,True,,,,,
test24,2,depth2,,,,0.0,12.0,0.0,
test24,2,monte_carlo,,,,12.0,12.0,1.0,
test24,2,depth3,,,,0.0,12.0,0.0,
test24,3,depth2,17.0,True,,,,,
test24,3,monte_carlo,11.0,True,,,,,
test24,3,depth3,11.0,True,,,,,
test24,3,ensemble,11.0,True,,,,,
test24,3,depth2,,,,0.0,10.0,0.0,
test24,3,monte_carlo,,,,8.0,10.0,0.8,
test24,3,depth3,,,,0.0,10.0,0.0,
test24,4,depth2,9.0,True,,,,,
test24,4,monte_carlo,16.0,True,,,,,
test24,4,depth3,15.0,True,,,,,
test24,4,ensemble,11.0,True,,,,,
test24,4,depth2,,,,0.0,9.0,0.0,
test24,4,monte_carlo,,,,7.0,9.0,0.7777777777777778,
test24,4,depth3,,,,0.0,9.0,0.0,
test24,5,depth2,11.0,True,,,,,
test24,5,monte_carlo,13.0,True,,,,,
test24,5,depth3,10.0,True,,,,,
test24,5,ensemble,13.0,True,,,,,
test24,5,depth2,,,,0.0,12.0,0.0,
test24,5,monte_carlo,,,,11.0,12.0,0.9166666666666666,
test24,5,depth3,,,,0.0,12.0,0.0,
test26,1,depth2,12.0,True,,,,,
test26,1,monte_carlo,11.0,True,,,,,
test26,1,depth3,16.0,True,,,,,
test26,1,ensemble,15.0,True,,,,,
test26,1,depth2,,,,0.0,9.0,0.0,
test26,1,monte_carlo,,,,8.0,9.0,0.8888888888888888,
test26,1,depth3,,,,0.0,9.0,0.0,
test26,2,depth2,11.0,True,,,,,
test26,2,monte_carlo,11.0,True,,,,,
test26,2,depth3,10.0,True,,,,,
test26,2,ensemble,12.0,True,,,,,
test26,2,depth2,,,,0.0,11.0,0.0,
test26,2,monte_carlo,,,,8.0,11.0,0.7272727272727273,
test26,2,depth3,,,,0.0,11.0,0.0,
test26,3,depth2,23.0,True,,,,,
test26,3,monte_carlo,14.0,True,,,,,
test26,3,depth3,8.0,True,,,,,
test26,3,ensemble,12.0,True,,,,,
test26,3,depth2,,,,0.0,11.0,0.0,
test26,3,monte_carlo,,,,10.0,11.0,0.9090909090909091,
test26,3,depth3,,,,0.0,11.0,0.0,
test26,4,depth2,9.0,True,,,,,
test26,4,monte_carlo,11.0,True,,,,,
test26,4,depth3,14.0,True,,,,,
test26,4,ensemble,13.0,True,,,,,
test26,4,depth2,,,,0.0,10.0,0.0,
test26,4,monte_carlo,,,,8.0,10.0,0.8,
test26,4,depth3,,,,0.0,10.0,0.0,
test26,5,depth2,11.0,True,,,,,
test26,5,monte_carlo,16.0,True,,,,,
test26,5,depth3,13.0,True,,,,,
test26,5,ensemble,12.0,True,,,,,
test26,5,depth2,,,,0.0,9.0,0.0,
test26,5,monte_carlo,,,,6.0,9.0,0.6666666666666666,
test26,5,depth3,,,,0.0,9.0,0.0,
